itemId,jenisSertifikat,noSertifikat,instansi,terbit,expired,status
58941d7f-e167-430a-8a3e-bb40eb67f722,AMDAL,CERT/2021/9471,DLH,2021-12-26,2022-12-26,Expired
bceb2fa6-2f5e-4368-8710-28a13685ee25,Penyalur Petir,CERT/2023/1474,Kementerian ESDM,2023-10-20,2024-10-19,Aktif
02324413-5b4f-480b-860d-00eb5d94b238,SLF,CERT/2021/2493,Dinas PUPR,2021-03-11,2022-03-11,Aktif
f7f892ee-13e1-4712-b633-19a2ac47c0fa,SLF,CERT/2023/2515,DLH,2023-05-02,2024-05-01,Aktif
cbb1090d-6a2b-446e-8902-ffef649a0d4f,SLF,CERT/2022/2520,Disnaker,2022-06-04,2023-06-04,Expired
fccabc13-c25e-4ab9-93a1-a8d8167d192a,SLF,CERT/2021/4704,Dinas PUPR,2021-10-28,2022-10-28,Aktif
23013fd9-8d25-4b23-bd26-26024a25405e,SLF,CERT/2024/9896,Dinas PUPR,2024-02-15,2025-02-14,Aktif
e145665d-3c95-4675-b1c9-a6a5b53a34f8,Fire Alarm,CERT/2021/3261,BPN,2021-08-16,2022-08-16,Aktif
2df39709-e22e-4835-a085-041c5ced8cb9,Fire Alarm,CERT/2021/3236,Dinas PUPR,2021-03-13,2022-03-13,Aktif
0461bc6b-05e7-401e-ace6-2d7aa0c789d8,AMDAL,CERT/2023/6084,Disnaker,2023-10-27,2024-10-26,Expired
e063a100-87ec-4d1c-a117-7302e5943d93,Penyalur Petir,CERT/2023/8575,DLH,2023-12-09,2024-12-08,Aktif
4218ba0d-d867-4f52-9d8d-5212818d2b06,SLF,CERT/2022/1607,BPN,2022-11-21,2023-11-21,Aktif
57da3222-b591-4344-8d4f-9aee7bc2ab88,Fire Alarm,CERT/2021/5761,BPN,2021-04-08,2022-04-08,Aktif
94917bf9-0bbf-4d21-abe9-766cfe483ce8,Fire Alarm,CERT/2021/9615,BPN,2021-03-05,2022-03-05,Expired
545ea658-3d7d-4cd9-a0a7-0979d37a4e68,SLF,CERT/2023/6175,Kementerian ESDM,2023-10-30,2024-10-29,Expired
4cca2371-a87b-4018-8cdf-8852151c4b0b,Penyalur Petir,CERT/2022/5190,DLH,2022-03-16,2023-03-16,Aktif
bd914fbe-3de9-467a-971e-d6ff32f6a040,Fire Alarm,CERT/2024/9978,BPN,2024-02-07,2025-02-06,Aktif
2c98581d-1a18-412b-aa3a-f6df7fb6f3e5,SLF,CERT/2023/5546,BPN,2023-11-13,2024-11-12,Expired
129f1387-9fb3-4bfe-8ad2-f0d767596dc6,HGB,CERT/2022/8542,Disnaker,2022-12-19,2023-12-19,Expired
36cd7836-7e9f-4597-bfd6-2a4f595eeb24,SLF,CERT/2023/1911,Kementerian ESDM,2023-05-01,2024-04-30,Aktif
cc8f76cd-bbf2-41e3-96da-848bdfcdf029,Fire Alarm,CERT/2023/2184,Disnaker,2023-05-04,2024-05-03,Aktif
49779746-377f-4659-a33e-717047e7209e,HGB,CERT/2022/2136,Kementerian ESDM,2022-06-23,2023-06-23,Expired
8d4a0ec6-3bea-44cb-9be4-26bfaf9e91ce,HGB,CERT/2021/5033,DLH,2021-04-10,2022-04-10,Aktif
bc4ed714-d6c1-4ee3-abf4-2df45f5567b4,AMDAL,CERT/2024/2873,Disnaker,2024-02-20,2025-02-19,Aktif
73293890-e6bf-45b5-98ca-e00a1f47ef8c,SLF,CERT/2023/8537,Dinas PUPR,2023-06-17,2024-06-16,Aktif
be5dc6b3-0672-4307-82d0-a584515ffc39,HGB,CERT/2021/2100,DLH,2021-02-11,2022-02-11,Expired
50fa447b-272b-4b53-ba58-db632d163efc,Penyalur Petir,CERT/2021/7917,Disnaker,2021-02-23,2022-02-23,Expired
