Nama Aset / Master (Wajib);Jenis Kategori;Kode / No Seri;Lokasi Unit;Penanggung Jawab;Status Aset;Nama Sertifikat (Child);No Sertifikat Active;Tgl Terbit;Tgl Expired
Overhead Crane 1 Ton;Aset Peralatan;CR-001;Bay 1;Dept Pemeliharaan;Aktif;Sertifikat Layak Operasi;SLO-CR001;01/01/2025;01/01/2026
Overhead Crane 1 Ton;Aset Peralatan;CR-001;Bay 1;Dept Pemeliharaan;Aktif;Sertifikat K3;K3-CR001;01/06/2025;01/06/2026
Overhead Crane 2 Ton;Aset Peralatan;CR-002;Bay 2;Dept Pemeliharaan;Aktif;Sertifikat Layak Operasi;SLO-CR002;01/01/2025;01/01/2026
Overhead Crane 2 Ton;Aset Peralatan;CR-002;Bay 2;Dept Pemeliharaan;Aktif;Sertifikat K3;K3-CR002;01/06/2025;01/06/2026
Overhead Crane 3 Ton;Aset Peralatan;CR-003;Bay 3;Dept Pemeliharaan;Aktif;Sertifikat Layak Operasi;SLO-CR003;01/01/2025;01/01/2026
Overhead Crane 3 Ton;Aset Peralatan;CR-003;Bay 3;Dept Pemeliharaan;Aktif;Sertifikat K3;K3-CR003;01/06/2025;01/06/2026
Overhead Crane 4 Ton;Aset Peralatan;CR-004;Bay 4;Dept Pemeliharaan;Aktif;Sertifikat Layak Operasi;SLO-CR004;01/01/2025;01/01/2026
Overhead Crane 4 Ton;Aset Peralatan;CR-004;Bay 4;Dept Pemeliharaan;Aktif;Sertifikat K3;K3-CR004;01/06/2025;01/06/2026
Overhead Crane 5 Ton;Aset Peralatan;CR-005;Bay 5;Dept Pemeliharaan;Aktif;Sertifikat Layak Operasi;SLO-CR005;01/01/2025;01/01/2026
Overhead Crane 5 Ton;Aset Peralatan;CR-005;Bay 5;Dept Pemeliharaan;Aktif;Sertifikat K3;K3-CR005;01/06/2025;01/06/2026
Overhead Crane 6 Ton;Aset Peralatan;CR-006;Bay 6;Dept Pemeliharaan;Aktif;Sertifikat Layak Operasi;SLO-CR006;01/01/2025;01/01/2026
Overhead Crane 6 Ton;Aset Peralatan;CR-006;Bay 6;Dept Pemeliharaan;Aktif;Sertifikat K3;K3-CR006;01/06/2025;01/06/2026
Overhead Crane 7 Ton;Aset Peralatan;CR-007;Bay 7;Dept Pemeliharaan;Aktif;Sertifikat Layak Operasi;SLO-CR007;01/01/2025;01/01/2026
Overhead Crane 7 Ton;Aset Peralatan;CR-007;Bay 7;Dept Pemeliharaan;Aktif;Sertifikat K3;K3-CR007;01/06/2025;01/06/2026
Overhead Crane 8 Ton;Aset Peralatan;CR-008;Bay 8;Dept Pemeliharaan;Aktif;Sertifikat Layak Operasi;SLO-CR008;01/01/2025;01/01/2026
