id,code,title,categoryKey,unitLocation,status,luasM2,luasHa,peruntukan,issueDate,expiryDate,keterangan
58941d7f-e167-430a-8a3e-bb40eb67f722,PKT-AST-001,Aset Perusahaan Unit 1,perizinan-proyek,Unit Utilitas,Aktif,2652,4.89,Fasilitas Pabrik,2024-05-05,2025-05-05,Data Dummy 1
bceb2fa6-2f5e-4368-8710-28a13685ee25,PKT-AST-002,Aset Perusahaan Unit 2,peralatan-pabrik,Gudang Pusat,Aktif,233,4.6,Fasilitas Pabrik,2022-07-04,2023-07-04,Data Dummy 2
02324413-5b4f-480b-860d-00eb5d94b238,PKT-AST-003,Aset Perusahaan Unit 3,peralatan-pabrik,Pabrik 3,Aktif,2941,2.06,Fasilitas Pabrik,2020-11-05,2022-11-05,Data Dummy 3
f7f892ee-13e1-4712-b633-19a2ac47c0fa,PKT-AST-004,Aset Perusahaan Unit 4,peralatan-pabrik,Pabrik 3,Aktif,3712,0.5,Fasilitas Pabrik,2023-07-21,2025-07-20,Data Dummy 4
cbb1090d-6a2b-446e-8902-ffef649a0d4f,PKT-AST-005,Aset Perusahaan Unit 5,perizinan-proyek,Pabrik 1,Aktif,1819,0.79,Fasilitas Pabrik,2021-12-26,2026-12-25,Data Dummy 5
fccabc13-c25e-4ab9-93a1-a8d8167d192a,PKT-AST-006,Aset Perusahaan Unit 6,perizinan-produk,Gudang Pusat,Aktif,3243,1.39,Fasilitas Pabrik,2020-01-14,2022-01-13,Data Dummy 6
23013fd9-8d25-4b23-bd26-26024a25405e,PKT-AST-007,Aset Perusahaan Unit 7,perizinan-proyek,Pabrik 1,Aktif,1599,0.88,Fasilitas Pabrik,2021-12-21,2023-12-21,Data Dummy 7
e145665d-3c95-4675-b1c9-a6a5b53a34f8,PKT-AST-008,Aset Perusahaan Unit 8,perizinan-produk,Pabrik 3,Non-Aktif,2383,2.59,Fasilitas Pabrik,2021-05-11,2026-05-10,Data Dummy 8
2df39709-e22e-4835-a085-041c5ced8cb9,PKT-AST-009,Aset Perusahaan Unit 9,perizinan-produk,Pabrik 2,Non-Aktif,1778,2.82,Fasilitas Pabrik,2021-08-29,2026-08-28,Data Dummy 9
0461bc6b-05e7-401e-ace6-2d7aa0c789d8,PKT-AST-010,Aset Perusahaan Unit 10,perizinan-produk,Pabrik 2,Non-Aktif,1841,1.27,Fasilitas Pabrik,2024-04-28,2026-04-28,Data Dummy 10
e063a100-87ec-4d1c-a117-7302e5943d93,PKT-AST-011,Aset Perusahaan Unit 11,perizinan-produk,Gudang Pusat,Aktif,2016,3.37,Fasilitas Pabrik,2021-01-04,2023-01-04,Data Dummy 11
4218ba0d-d867-4f52-9d8d-5212818d2b06,PKT-AST-012,Aset Perusahaan Unit 12,perizinan-proyek,Gudang Pusat,Aktif,1484,1.92,Fasilitas Pabrik,2021-12-14,2023-12-14,Data Dummy 12
57da3222-b591-4344-8d4f-9aee7bc2ab88,PKT-AST-013,Aset Perusahaan Unit 13,perizinan-produk,Gudang Pusat,Non-Aktif,3592,4.68,Fasilitas Pabrik,2020-08-20,2022-08-20,Data Dummy 13
94917bf9-0bbf-4d21-abe9-766cfe483ce8,PKT-AST-014,Aset Perusahaan Unit 14,perizinan-proyek,Unit Utilitas,Non-Aktif,4870,0.44,Fasilitas Pabrik,2022-10-10,2025-10-09,Data Dummy 14
545ea658-3d7d-4cd9-a0a7-0979d37a4e68,PKT-AST-015,Aset Perusahaan Unit 15,perizinan-aset,Pabrik 3,Aktif,131,4.59,Fasilitas Pabrik,2024-11-02,2029-11-01,Data Dummy 15
4cca2371-a87b-4018-8cdf-8852151c4b0b,PKT-AST-016,Aset Perusahaan Unit 16,perizinan-produk,Pabrik 2,Aktif,3467,1.04,Fasilitas Pabrik,2021-03-15,2025-03-14,Data Dummy 16
bd914fbe-3de9-467a-971e-d6ff32f6a040,PKT-AST-017,Aset Perusahaan Unit 17,perizinan-proyek,Pabrik 1,Aktif,2373,4.28,Fasilitas Pabrik,2024-06-03,2025-06-03,Data Dummy 17
2c98581d-1a18-412b-aa3a-f6df7fb6f3e5,PKT-AST-018,Aset Perusahaan Unit 18,perizinan-aset,Pabrik 2,Aktif,2754,1.48,Fasilitas Pabrik,2024-12-17,2025-12-17,Data Dummy 18
129f1387-9fb3-4bfe-8ad2-f0d767596dc6,PKT-AST-019,Aset Perusahaan Unit 19,peralatan-pabrik,Pabrik 3,Aktif,2967,4.99,Fasilitas Pabrik,2024-11-30,2029-11-29,Data Dummy 19
36cd7836-7e9f-4597-bfd6-2a4f595eeb24,PKT-AST-020,Aset Perusahaan Unit 20,peralatan-pabrik,Pabrik 2,Aktif,3816,2.08,Fasilitas Pabrik,2020-06-18,2021-06-18,Data Dummy 20
cc8f76cd-bbf2-41e3-96da-848bdfcdf029,PKT-AST-021,Aset Perusahaan Unit 21,peralatan-pabrik,Pabrik 2,Aktif,3951,4.23,Fasilitas Pabrik,2021-03-28,2025-03-27,Data Dummy 21
49779746-377f-4659-a33e-717047e7209e,PKT-AST-022,Aset Perusahaan Unit 22,peralatan-pabrik,Pabrik 1,Aktif,2267,4.83,Fasilitas Pabrik,2020-06-03,2022-06-03,Data Dummy 22
8d4a0ec6-3bea-44cb-9be4-26bfaf9e91ce,PKT-AST-023,Aset Perusahaan Unit 23,perizinan-aset,Pabrik 2,Aktif,903,0.85,Fasilitas Pabrik,2022-12-25,2025-12-24,Data Dummy 23
bc4ed714-d6c1-4ee3-abf4-2df45f5567b4,PKT-AST-024,Aset Perusahaan Unit 24,perizinan-produk,Gudang Pusat,Aktif,1728,3.39,Fasilitas Pabrik,2022-12-04,2025-12-03,Data Dummy 24
73293890-e6bf-45b5-98ca-e00a1f47ef8c,PKT-AST-025,Aset Perusahaan Unit 25,perizinan-produk,Gudang Pusat,Aktif,2951,0.87,Fasilitas Pabrik,2022-09-13,2024-09-12,Data Dummy 25
be5dc6b3-0672-4307-82d0-a584515ffc39,PKT-AST-026,Aset Perusahaan Unit 26,perizinan-proyek,Unit Utilitas,Aktif,1982,1.17,Fasilitas Pabrik,2020-10-28,2025-10-27,Data Dummy 26
50fa447b-272b-4b53-ba58-db632d163efc,PKT-AST-027,Aset Perusahaan Unit 27,peralatan-pabrik,Pabrik 2,Aktif,2932,1.06,Fasilitas Pabrik,2021-03-08,2024-03-07,Data Dummy 27
95f72d1c-c37c-4a7c-9399-ee3dec98a18c,PKT-AST-028,Aset Perusahaan Unit 28,perizinan-produk,Pabrik 1,Aktif,835,1.79,Fasilitas Pabrik,2021-03-26,2023-03-26,Data Dummy 28
c0b4303d-d71a-4dc7-9414-f5f884e1e96f,PKT-AST-029,Aset Perusahaan Unit 29,perizinan-aset,Gudang Pusat,Aktif,1024,1.11,Fasilitas Pabrik,2024-12-12,2026-12-12,Data Dummy 29
8f23b185-4523-4fc9-ac27-3f8c0ada7c9c,PKT-AST-030,Aset Perusahaan Unit 30,perizinan-produk,Gudang Pusat,Aktif,2030,4.5,Fasilitas Pabrik,2022-06-04,2027-06-03,Data Dummy 30
c99124c2-3105-450e-8bb4-483cbdac0901,PKT-AST-031,Aset Perusahaan Unit 31,perizinan-aset,Unit Utilitas,Aktif,4617,0.95,Fasilitas Pabrik,2020-09-09,2021-09-09,Data Dummy 31
ca23ecbc-202c-4286-aae8-b59cd0fd6626,PKT-AST-032,Aset Perusahaan Unit 32,perizinan-aset,Pabrik 3,Aktif,3863,0.58,Fasilitas Pabrik,2023-09-03,2027-09-02,Data Dummy 32
9ed06641-a977-49f0-98ce-ce1a0238d562,PKT-AST-033,Aset Perusahaan Unit 33,perizinan-aset,Pabrik 2,Non-Aktif,4642,3.62,Fasilitas Pabrik,2020-03-22,2025-03-21,Data Dummy 33
f9ab4825-a5ee-452c-90f5-4383319473b7,PKT-AST-034,Aset Perusahaan Unit 34,peralatan-pabrik,Gudang Pusat,Aktif,2145,4.37,Fasilitas Pabrik,2024-11-28,2026-11-28,Data Dummy 34
25428f68-83dc-4199-aaa4-fc0ac29f1f6b,PKT-AST-035,Aset Perusahaan Unit 35,peralatan-pabrik,Unit Utilitas,Aktif,424,1.16,Fasilitas Pabrik,2022-07-27,2025-07-26,Data Dummy 35
b0ac512c-fd8b-4620-9899-ab40b771b7f2,PKT-AST-036,Aset Perusahaan Unit 36,perizinan-aset,Unit Utilitas,Aktif,1039,3.13,Fasilitas Pabrik,2020-02-21,2023-02-20,Data Dummy 36
35d005e1-90f4-4080-be03-78d95cb49652,PKT-AST-037,Aset Perusahaan Unit 37,perizinan-aset,Pabrik 2,Aktif,181,3.33,Fasilitas Pabrik,2021-05-13,2025-05-12,Data Dummy 37
592c38fe-bdd7-420b-b765-008e2c51450c,PKT-AST-038,Aset Perusahaan Unit 38,perizinan-produk,Gudang Pusat,Aktif,2485,3.56,Fasilitas Pabrik,2021-10-24,2022-10-24,Data Dummy 38
6825767d-367b-4128-9bff-5229a98d90c9,PKT-AST-039,Aset Perusahaan Unit 39,perizinan-proyek,Gudang Pusat,Aktif,2459,0.86,Fasilitas Pabrik,2021-07-13,2023-07-13,Data Dummy 39
05e586d9-793b-4d41-8754-c6cd355f6512,PKT-AST-040,Aset Perusahaan Unit 40,peralatan-pabrik,Pabrik 1,Aktif,358,0.93,Fasilitas Pabrik,2023-12-10,2028-12-08,Data Dummy 40
04d129a8-cd6e-4746-be7b-a09c219ccd8b,PKT-AST-041,Aset Perusahaan Unit 41,perizinan-produk,Unit Utilitas,Non-Aktif,4894,3.76,Fasilitas Pabrik,2021-03-03,2025-03-02,Data Dummy 41
350e5f5a-b016-45d9-8cb4-4962a11a3b4e,PKT-AST-042,Aset Perusahaan Unit 42,perizinan-proyek,Unit Utilitas,Aktif,2167,0.97,Fasilitas Pabrik,2023-12-05,2027-12-04,Data Dummy 42
65fa7b6a-d3e3-4b07-8857-ec2631a166be,PKT-AST-043,Aset Perusahaan Unit 43,perizinan-aset,Unit Utilitas,Aktif,3237,1.85,Fasilitas Pabrik,2023-05-01,2028-04-29,Data Dummy 43
3a518db2-ad9a-41a6-91a8-ba79c36a9d84,PKT-AST-044,Aset Perusahaan Unit 44,perizinan-produk,Pabrik 3,Aktif,1336,1.03,Fasilitas Pabrik,2020-03-15,2025-03-14,Data Dummy 44
e6e95f03-0a46-4097-9618-2ca5f5d4b1fb,PKT-AST-045,Aset Perusahaan Unit 45,perizinan-proyek,Gudang Pusat,Aktif,3705,4.18,Fasilitas Pabrik,2021-02-17,2026-02-16,Data Dummy 45
5ba59216-6c0b-44b2-abc3-42e60625d697,PKT-AST-046,Aset Perusahaan Unit 46,perizinan-aset,Pabrik 2,Aktif,4418,3.25,Fasilitas Pabrik,2021-06-17,2023-06-17,Data Dummy 46
f3df22ea-e1f3-4a75-93c8-cd110984fdaf,PKT-AST-047,Aset Perusahaan Unit 47,perizinan-produk,Pabrik 3,Aktif,3715,4.69,Fasilitas Pabrik,2020-07-27,2023-07-27,Data Dummy 47
16e0afa8-ed42-4766-ba8d-90e41cbce633,PKT-AST-048,Aset Perusahaan Unit 48,peralatan-pabrik,Pabrik 1,Aktif,2283,4.34,Fasilitas Pabrik,2020-03-27,2025-03-26,Data Dummy 48
a0a25a9a-494f-4280-bf9b-ee3299b6b9ff,PKT-AST-049,Aset Perusahaan Unit 49,peralatan-pabrik,Pabrik 1,Non-Aktif,2739,4.41,Fasilitas Pabrik,2022-05-18,2026-05-17,Data Dummy 49
bc3c11a9-7b6f-4c94-9944-277a160d6295,PKT-AST-050,Aset Perusahaan Unit 50,perizinan-aset,Gudang Pusat,Aktif,533,4.29,Fasilitas Pabrik,2021-07-09,2025-07-08,Data Dummy 50
