itemId,jenisIzin,noIzin,instansi,terbit,expired,status,keterangan
58941d7f-e167-430a-8a3e-bb40eb67f722,Izin Lingkungan,IZIN/2024/752,Kementerian ESDM,2024-09-08,2027-09-08,Aktif,-
bceb2fa6-2f5e-4368-8710-28a13685ee25,Izin Operasional,IZIN/2023/152,Disnaker,2023-10-18,2026-10-17,Aktif,-
02324413-5b4f-480b-860d-00eb5d94b238,Izin Genset,IZIN/2024/350,Disnaker,2024-07-06,2027-07-06,Aktif,-
f7f892ee-13e1-4712-b633-19a2ac47c0fa,Izin Genset,IZIN/2021/733,DLH,2021-01-31,2024-01-31,Aktif,-
cbb1090d-6a2b-446e-8902-ffef649a0d4f,Izin Usaha,IZIN/2022/214,Kementerian ESDM,2022-05-10,2025-05-09,Aktif,-
fccabc13-c25e-4ab9-93a1-a8d8167d192a,Izin Lingkungan,IZIN/2024/417,Kementerian ESDM,2024-05-06,2027-05-06,Aktif,-
23013fd9-8d25-4b23-bd26-26024a25405e,Izin Lingkungan,IZIN/2023/235,Disnaker,2023-01-01,2025-12-31,Aktif,-
e145665d-3c95-4675-b1c9-a6a5b53a34f8,Izin Lingkungan,IZIN/2021/950,DLH,2021-12-31,2024-12-30,Aktif,-
2df39709-e22e-4835-a085-041c5ced8cb9,Izin Genset,IZIN/2022/291,Kementerian ESDM,2022-01-04,2025-01-03,Aktif,-
0461bc6b-05e7-401e-ace6-2d7aa0c789d8,Izin Genset,IZIN/2022/903,BPN,2022-10-11,2025-10-10,Aktif,-
e063a100-87ec-4d1c-a117-7302e5943d93,Izin Genset,IZIN/2023/138,BPN,2023-09-07,2026-09-06,Aktif,-
4218ba0d-d867-4f52-9d8d-5212818d2b06,Izin Operasional,IZIN/2022/517,BPN,2022-10-01,2025-09-30,Aktif,-
57da3222-b591-4344-8d4f-9aee7bc2ab88,Izin Operasional,IZIN/2021/924,Dinas PUPR,2021-04-24,2024-04-23,Aktif,-
94917bf9-0bbf-4d21-abe9-766cfe483ce8,Izin Operasional,IZIN/2023/572,Kementerian ESDM,2023-03-05,2026-03-04,Aktif,-
545ea658-3d7d-4cd9-a0a7-0979d37a4e68,Izin Genset,IZIN/2023/847,Disnaker,2023-11-26,2026-11-25,Aktif,-
4cca2371-a87b-4018-8cdf-8852151c4b0b,Izin Operasional,IZIN/2023/506,BPN,2023-02-26,2026-02-25,Aktif,-
bd914fbe-3de9-467a-971e-d6ff32f6a040,Izin Genset,IZIN/2022/727,DLH,2022-08-18,2025-08-17,Aktif,-
2c98581d-1a18-412b-aa3a-f6df7fb6f3e5,Izin Genset,IZIN/2024/532,Kementerian ESDM,2024-04-15,2027-04-15,Aktif,-
129f1387-9fb3-4bfe-8ad2-f0d767596dc6,Izin Genset,IZIN/2023/492,Dinas PUPR,2023-03-28,2026-03-27,Aktif,-
36cd7836-7e9f-4597-bfd6-2a4f595eeb24,Izin Lingkungan,IZIN/2024/612,DLH,2024-01-30,2027-01-29,Aktif,-
cc8f76cd-bbf2-41e3-96da-848bdfcdf029,Izin Lingkungan,IZIN/2021/150,BPN,2021-05-21,2024-05-20,Aktif,-
49779746-377f-4659-a33e-717047e7209e,Izin Lingkungan,IZIN/2021/440,Kementerian ESDM,2021-07-14,2024-07-13,Aktif,-
8d4a0ec6-3bea-44cb-9be4-26bfaf9e91ce,Izin Usaha,IZIN/2021/651,Dinas PUPR,2021-01-14,2024-01-14,Aktif,-
bc4ed714-d6c1-4ee3-abf4-2df45f5567b4,Izin Operasional,IZIN/2023/720,Kementerian ESDM,2023-03-17,2026-03-16,Aktif,-
73293890-e6bf-45b5-98ca-e00a1f47ef8c,Izin Usaha,IZIN/2021/224,Disnaker,2021-10-29,2024-10-28,Aktif,-
be5dc6b3-0672-4307-82d0-a584515ffc39,Izin Usaha,IZIN/2024/266,BPN,2024-07-30,2027-07-30,Aktif,-
50fa447b-272b-4b53-ba58-db632d163efc,Izin Operasional,IZIN/2023/767,Dinas PUPR,2023-01-30,2026-01-29,Aktif,-
95f72d1c-c37c-4a7c-9399-ee3dec98a18c,Izin Operasional,IZIN/2021/885,Dinas PUPR,2021-07-30,2024-07-29,Aktif,-
c0b4303d-d71a-4dc7-9414-f5f884e1e96f,Izin Genset,IZIN/2023/764,BPN,2023-05-19,2026-05-18,Aktif,-
8f23b185-4523-4fc9-ac27-3f8c0ada7c9c,Izin Lingkungan,IZIN/2023/813,DLH,2023-04-24,2026-04-23,Aktif,-
c99124c2-3105-450e-8bb4-483cbdac0901,Izin Genset,IZIN/2024/698,Disnaker,2024-04-26,2027-04-26,Aktif,-
ca23ecbc-202c-4286-aae8-b59cd0fd6626,Izin Usaha,IZIN/2024/282,BPN,2024-11-03,2027-11-03,Aktif,-
9ed06641-a977-49f0-98ce-ce1a0238d562,Izin Lingkungan,IZIN/2021/489,Dinas PUPR,2021-01-07,2024-01-07,Aktif,-
f9ab4825-a5ee-452c-90f5-4383319473b7,Izin Genset,IZIN/2023/873,Dinas PUPR,2023-07-07,2026-07-06,Aktif,-
25428f68-83dc-4199-aaa4-fc0ac29f1f6b,Izin Genset,IZIN/2022/985,BPN,2022-01-25,2025-01-24,Aktif,-
b0ac512c-fd8b-4620-9899-ab40b771b7f2,Izin Usaha,IZIN/2024/881,Disnaker,2024-12-27,2027-12-27,Aktif,-
35d005e1-90f4-4080-be03-78d95cb49652,Izin Genset,IZIN/2022/726,Dinas PUPR,2022-02-02,2025-02-01,Aktif,-
592c38fe-bdd7-420b-b765-008e2c51450c,Izin Lingkungan,IZIN/2022/881,Dinas PUPR,2022-08-31,2025-08-30,Aktif,-
6825767d-367b-4128-9bff-5229a98d90c9,Izin Genset,IZIN/2021/226,Disnaker,2021-07-18,2024-07-17,Aktif,-
05e586d9-793b-4d41-8754-c6cd355f6512,Izin Usaha,IZIN/2023/896,Disnaker,2023-05-29,2026-05-28,Aktif,-
04d129a8-cd6e-4746-be7b-a09c219ccd8b,Izin Lingkungan,IZIN/2024/688,Kementerian ESDM,2024-04-23,2027-04-23,Aktif,-
350e5f5a-b016-45d9-8cb4-4962a11a3b4e,Izin Usaha,IZIN/2023/399,Dinas PUPR,2023-06-28,2026-06-27,Aktif,-
65fa7b6a-d3e3-4b07-8857-ec2631a166be,Izin Lingkungan,IZIN/2022/636,BPN,2022-07-25,2025-07-24,Aktif,-
3a518db2-ad9a-41a6-91a8-ba79c36a9d84,Izin Usaha,IZIN/2024/887,BPN,2024-06-13,2027-06-13,Aktif,-
e6e95f03-0a46-4097-9618-2ca5f5d4b1fb,Izin Usaha,IZIN/2023/564,Disnaker,2023-11-01,2026-10-31,Aktif,-
5ba59216-6c0b-44b2-abc3-42e60625d697,Izin Operasional,IZIN/2022/267,Kementerian ESDM,2022-09-30,2025-09-29,Aktif,-
f3df22ea-e1f3-4a75-93c8-cd110984fdaf,Izin Genset,IZIN/2022/958,Disnaker,2022-01-08,2025-01-07,Aktif,-
16e0afa8-ed42-4766-ba8d-90e41cbce633,Izin Lingkungan,IZIN/2024/271,BPN,2024-10-03,2027-10-03,Aktif,-
a0a25a9a-494f-4280-bf9b-ee3299b6b9ff,Izin Operasional,IZIN/2024/875,Disnaker,2024-03-01,2027-03-01,Aktif,-
bc3c11a9-7b6f-4c94-9944-277a160d6295,Izin Lingkungan,IZIN/2021/716,BPN,2021-12-02,2024-12-01,Aktif,-
